,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,grade,sqft_above,sqft_basement,yr_built,yr_renovated
0,221900,3,1,1180,5650,1,0,7,1180,0,1955,0
1,538000,3,2,2570,7242,2,0,7,2170,400,1951,1991
2,180000,2,1,770,10000,1,0,6,770,0,1933,0
3,604000,4,3,1960,5000,1,0,7,1050,910,1965,0
4,510000,3,2,1680,8080,1,0,8,1680,0,1987,0
5,1230000,4,4,5420,101930,1,0,11,3890,1530,2001,0
6,257500,3,2,1715,6819,2,0,7,1715,0,1995,0
7,291850,3,1,1060,9711,1,0,7,1060,0,1963,0
8,229500,3,1,1780,7470,1,0,7,1050,730,1960,0
9,323000,3,2,1890,6560,2,0,7,1890,0,2003,0
10,662500,3,2,3560,9796,1,0,8,1860,1700,1965,0
11,468000,2,1,1160,6000,1,0,7,860,300,1942,0
12,310000,3,1,1430,19901,1,0,7,1430,0,1927,0
13,400000,3,1,1370,9680,1,0,7,1370,0,1977,0
14,530000,5,2,1810,4850,1,0,7,1810,0,1900,0
15,650000,4,3,2950,5000,2,0,9,1980,970,1979,0
16,395000,3,2,1890,14040,2,0,7,1890,0,1994,0
17,485000,4,1,1600,4300,1,0,7,1600,0,1916,0
18,189000,2,1,1200,9850,1,0,7,1200,0,1921,0
19,230000,3,1,1250,9774,1,0,7,1250,0,1969,0
20,385000,4,1,1620,4980,1,0,7,860,760,1947,0
21,2000000,3,2,3050,44867,1,0,9,2330,720,1968,0
22,285000,5,2,2270,6300,2,0,8,2270,0,1995,0
23,252700,2,1,1070,9643,1,0,7,1070,0,1985,0
24,329000,3,2,2450,6500,2,0,8,2450,0,1985,0
25,233000,3,2,1710,4697,1,0,6,1710,0,1941,0
26,937000,3,1,2450,2691,2,0,8,1750,700,1915,0
27,667000,3,1,1400,1581,1,0,8,1400,0,1909,0
28,438000,3,1,1520,6380,1,0,7,790,730,1948,0
29,719000,4,2,2570,7173,2,0,8,2570,0,2005,0
30,580500,3,2,2320,3980,2,0,8,2320,0,2003,0
31,280000,2,1,1190,1265,3,0,7,1190,0,2005,0
32,687500,4,1,2330,5000,1,0,7,1510,820,1929,0
33,535000,3,1,1090,3000,1,0,8,1090,0,1929,0
34,322500,4,2,2060,6659,1,0,7,1280,780,1981,0
35,696000,3,2,2300,3060,1,0,8,1510,790,1930,2002
36,550000,4,1,1660,34848,1,0,5,930,730,1933,0
37,640000,4,2,2360,6000,2,0,8,2360,0,1904,0
38,240000,4,1,1220,8075,1,0,7,890,330,1969,0
39,605000,4,2,2620,7553,2,0,8,2620,0,1996,0
40,625000,4,2,2570,5520,2,0,9,2570,0,2000,0
41,775000,4,2,4220,24186,1,0,8,2600,1620,1984,0
42,861990,5,2,3595,5639,2,0,9,3595,0,2014,0
43,685000,3,1,1570,2280,2,0,7,1570,0,1922,0
44,309000,3,1,1280,9656,1,0,6,920,360,1959,0
45,488000,3,2,3160,13603,2,0,8,3160,0,2003,0
46,210490,3,1,990,8528,1,0,6,990,0,1966,0
47,785000,4,2,2290,13416,2,0,9,2290,0,1981,0
48,450000,3,1,1250,5963,1,0,7,1250,0,1953,0
49,1350000,3,2,2753,65005,1,1,9,2165,588,1953,0
50,228000,3,1,1190,9199,1,0,7,1190,0,1955,0
51,345000,5,2,3150,9134,1,0,8,1640,1510,1966,0
52,600000,3,1,1410,4080,1,0,7,1000,410,1950,0
53,585000,2,1,1980,8550,1,0,7,990,990,1981,0
54,920000,5,2,2730,6000,1,0,8,2130,600,1927,0
55,885000,4,2,2830,5000,2,0,9,2830,0,1995,0
56,292500,4,2,2250,4495,2,0,7,2250,0,2008,0
57,301000,3,2,2420,4750,2,0,8,2420,0,2003,0
58,951000,5,3,3250,14342,2,0,8,3250,0,1968,0
59,430000,4,3,1850,9976,2,0,8,1850,0,1991,0
60,650000,3,2,2150,21235,1,0,8,1590,560,1959,0
61,289000,3,1,1260,8400,1,0,7,1260,0,1954,0
62,505000,3,1,2519,8690,2,0,8,2519,0,1973,0
63,549000,3,1,1540,1044,3,0,8,1540,0,2014,0
64,425000,3,2,1660,6000,1,0,7,1110,550,1979,0
65,317625,3,2,2770,3809,1,0,7,1770,1000,1925,0
66,975000,4,2,2720,11049,2,0,10,2720,0,1989,0
67,287000,4,2,2240,4648,2,0,7,2240,0,2005,0
68,204000,3,1,1000,12070,1,0,7,1000,0,1968,0
69,1330000,5,2,3200,20158,1,0,8,1600,1600,1965,0
70,1040000,5,3,4770,50094,1,0,11,3070,1700,1973,0
71,325000,3,2,1260,5612,1,0,7,1260,0,1972,0
72,571000,4,2,2750,7807,1,0,7,2250,500,1916,0
73,360000,4,2,2380,5000,2,0,8,2380,0,2005,0
74,349000,3,1,1790,50529,1,0,7,1090,700,1965,0
75,832500,4,4,3430,35102,2,0,10,2390,1040,1986,0
76,380000,4,1,1760,7300,1,0,7,880,880,1956,0
77,480000,3,1,1040,5060,1,0,7,1040,0,1941,0
78,410000,3,1,1410,5060,1,0,7,910,500,1956,0
79,720000,4,2,3450,39683,2,0,10,3450,0,2002,0
80,390000,3,2,2350,5100,2,0,8,2350,0,2003,0
81,360000,4,2,1900,5889,2,0,7,1900,0,1992,0
82,355000,2,1,2020,6720,1,0,7,1010,1010,1948,0
83,356000,3,1,1680,8712,1,0,8,1680,0,1964,0
84,315000,3,1,960,6634,1,0,6,960,0,1952,0
85,940000,3,1,2140,3600,2,0,9,1900,240,1925,0
86,305000,5,2,2660,8400,1,0,7,2660,0,1961,0
87,461000,3,3,2770,6278,2,0,9,1980,790,2006,0
88,215000,2,2,1610,2040,2,0,7,1610,0,1979,0
89,335000,2,1,1030,1066,2,0,7,765,265,2006,0
90,243500,4,2,1980,7403,2,0,7,1980,0,1988,0
91,1100000,5,2,3520,6353,2,0,10,3520,0,2001,0
92,153000,3,1,1200,10500,1,0,7,1200,0,1962,0
93,430000,3,1,1580,5000,1,0,8,1290,290,1939,0
94,700000,3,1,1580,5000,1,0,8,1290,290,1939,0
95,905000,4,2,3300,10250,1,0,7,2390,910,1946,1991
96,247500,3,1,1960,15681,1,0,7,1960,0,1967,0
97,199000,4,1,1160,6400,1,0,7,1160,0,1975,0
98,314000,3,1,1810,41800,1,0,7,1210,600,1980,0
99,437500,3,2,2320,36847,2,0,9,2320,0,1992,0
100,850830,3,2,2070,13241,1,0,9,1270,800,1910,0
101,555000,3,2,1980,3478,1,0,7,1440,540,1929,0
102,699950,3,2,2190,107593,2,0,8,2190,0,1983,0
103,1090000,3,2,2920,8113,2,0,8,2920,0,1950,2010
104,290000,3,1,1210,33919,1,0,7,1210,0,1954,0
105,375000,3,2,2340,10005,1,0,8,1460,880,1978,0
106,460000,3,1,1670,4005,1,0,7,1170,500,1939,0
107,188500,2,1,1240,2493,1,0,8,1240,0,1985,0
108,680000,4,2,3140,28037,2,0,10,3140,0,1991,0
109,470000,5,1,2030,12342,2,0,7,2030,0,1942,0
110,597750,4,2,2310,9624,2,0,8,2310,0,1984,0
111,570000,3,1,1260,3328,1,0,6,700,560,1905,0
112,272500,3,1,1540,12600,1,0,7,1160,380,1980,0
113,329950,3,1,2080,5969,1,0,7,1080,1000,1971,0
114,480000,4,2,3230,16171,2,0,9,2520,710,2001,0
115,740500,3,3,4380,6350,2,0,8,2780,1600,1900,1999
116,518500,3,3,1590,1102,3,0,8,1590,0,2010,0
117,205425,2,1,880,6780,1,0,6,880,0,1945,0
118,171800,4,2,1570,9600,1,0,6,1570,0,1950,0
119,535000,4,1,1610,2982,1,0,7,1610,0,1925,0
120,660000,3,2,2400,6474,1,0,8,1560,840,1964,0
121,391500,3,2,1450,9132,1,0,7,1450,0,1987,0
122,395000,2,1,770,6000,1,0,6,770,0,1953,0
123,445000,4,1,2100,4400,1,0,7,1720,380,1924,0
124,770000,3,2,2910,10204,2,0,9,2910,0,1990,0
125,1450000,4,2,2750,17789,1,0,8,1980,770,1914,1992
126,445000,3,2,2100,8201,1,0,8,1620,480,1967,0
127,260000,4,2,2160,8811,1,0,8,1360,800,1978,0
128,822500,5,3,2320,4960,2,0,7,1720,600,1926,0
129,430000,4,2,2070,4310,2,0,7,2070,0,2004,0
130,212000,3,1,1060,7875,1,0,7,1060,0,1986,0
131,660500,4,2,2010,9603,1,0,8,1440,570,1986,0
132,784000,3,3,3950,111078,1,0,9,2460,1490,1989,0
133,453246,3,2,2010,2287,2,0,8,1390,620,2014,0
134,675000,4,3,2140,2278,3,0,9,2140,0,2005,0
135,199000,3,1,1320,17390,1,0,7,1320,0,1956,0
136,220000,4,1,2020,7840,1,0,7,1010,1010,1968,0
137,452000,4,2,2590,10002,1,0,8,1340,1250,1968,0
138,382500,2,1,1190,4440,1,0,6,1190,0,1981,0
139,519950,3,2,1170,1249,3,0,8,1170,0,2014,0
140,665000,2,1,1110,3200,1,0,7,1110,0,1925,0
141,527700,5,2,2820,9375,1,0,8,1550,1270,1968,0
142,205000,3,1,1610,8579,1,0,7,1010,600,1962,0
143,420000,3,1,1060,8097,1,0,7,940,120,1923,0
144,500000,4,2,2030,8517,1,0,8,1380,650,1961,0
145,921500,4,2,3670,315374,2,0,9,3670,0,1994,0
146,890000,4,1,2550,4000,2,0,8,2370,180,1905,0
147,430000,2,2,2420,60984,2,0,7,2420,0,2007,0
148,258000,5,2,2260,12500,1,0,8,1130,1130,1960,0
149,511000,3,1,1430,3455,1,0,7,980,450,1947,0
150,532170,3,2,1360,3090,2,0,8,1360,0,1990,0
151,560000,3,1,1110,5000,1,0,7,1110,0,1947,0
152,282950,3,1,1250,8200,1,0,7,1250,0,1954,0
153,2250000,4,3,5180,19850,2,0,12,3540,1640,2006,0
154,350000,1,1,700,5100,1,0,7,700,0,1942,0
155,215000,3,1,1180,7669,1,0,7,1180,0,1967,0
156,650000,5,3,3960,25245,2,0,9,2500,1460,1996,0
157,320000,4,2,2640,7500,1,0,8,1620,1020,1967,0
158,247000,3,2,1270,7198,1,0,7,1270,0,1916,2013
159,320000,4,1,1760,11180,1,0,8,1760,0,1968,0
160,255000,5,2,2060,8632,1,0,7,1030,1030,1962,0
161,438000,3,1,1780,9660,1,0,7,1780,0,1962,0
162,900000,3,2,3400,16603,2,0,10,3400,0,2000,0
163,441000,3,2,1910,7280,1,0,7,1160,750,1979,0
164,420000,3,2,2020,38332,1,0,7,1010,1010,1975,0
165,370000,3,1,1580,7000,1,0,7,1180,400,1976,0
166,269950,2,1,1340,7250,1,0,5,700,640,1949,0
167,807100,4,2,2680,4499,2,0,9,2680,0,1999,0
168,653000,3,2,2680,9750,1,0,8,1610,1070,1979,0
169,371500,3,2,1370,8336,1,0,7,1370,0,1964,0
170,284000,3,1,1560,21000,1,0,7,1560,0,1954,0
171,272000,3,1,2160,7140,1,0,7,1670,490,1978,0
172,313000,3,1,1340,7912,1,0,7,1340,0,1955,0
173,917500,4,2,3880,35003,2,0,10,2570,1310,1984,0
174,673000,4,2,2590,8190,2,0,8,2590,0,1980,0
175,425000,3,2,1120,1100,2,0,8,820,300,2008,0
176,399950,5,2,1970,5400,1,0,7,1320,650,1986,0
177,385000,3,1,1220,4800,1,0,6,1220,0,1901,0
178,269950,3,1,1950,7560,1,0,7,1320,630,1975,0
179,330000,2,1,1350,8220,1,0,7,1060,290,1949,0
180,260000,3,2,1670,5797,2,0,7,1670,0,1988,0
181,470000,4,3,2380,5125,1,0,7,1680,700,1925,0
182,589000,4,3,2440,9600,2,0,7,2440,0,1961,0
183,163500,2,1,1050,3419,2,0,7,1050,0,1996,0
184,835000,4,2,3130,13412,2,0,9,2140,990,1993,0
185,1100000,5,3,4090,12850,1,0,10,2090,2000,1986,0
186,269000,4,1,1490,10000,1,0,8,1100,390,1969,0
187,560000,3,2,1900,8744,2,0,8,1900,0,1987,0
188,615000,4,1,1330,2400,1,0,6,1330,0,1901,0
189,585188,3,2,2230,10026,1,0,8,1430,800,1975,0
190,305000,3,1,1650,9480,1,0,7,1220,430,1977,0
